"GeoFips","GeoName","Population"
"53000","Washington",7523869
"53001","Adams, WA",19736
"53003","Asotin, WA",22616
"53005","Benton, WA",201286
"53007","Chelan, WA",76752
"53009","Clallam, WA",76551
"53011","Clark, WA",481427
"53013","Columbia, WA",4039
"53015","Cowlitz, WA",108752
"53017","Douglas, WA",42749
"53019","Ferry, WA",7638
"53021","Franklin, WA",94003
"53023","Garfield, WA",2240
"53025","Grant, WA",96672
"53027","Grays Harbor, WA",73801
"53029","Island, WA",84227
"53031","Jefferson, WA",31746
"53033","King, WA",2228364
"53035","Kitsap, WA",269276
"53037","Kittitas, WA",47358
"53039","Klickitat, WA",22136
"53041","Lewis, WA",79569
"53043","Lincoln, WA",10726
"53045","Mason, WA",65380
"53047","Okanogan, WA",42117
"53049","Pacific, WA",22074
"53051","Pend Oreille, WA",13586
"53053","Pierce, WA",893756
"53055","San Juan, WA",17124
"53057","Skagit, WA",127835
"53059","Skamania, WA",11919
"53061","Snohomish, WA",813059
"53063","Spokane, WA",513603
"53065","Stevens, WA",45224
"53067","Thurston, WA",286056
"53069","Wahkiakum, WA",4415
"53071","Walla Walla, WA",60615
"53073","Whatcom, WA",225197
"53075","Whitman, WA",49683
"53077","Yakima, WA",250562
"53998","Washington (Metropolitan Portion)",6753051
"53999","Washington (Nonmetropolitan Portion) *",770818
"13380","Bellingham, WA (Metropolitan Statistical Area)",225197
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",269276
"28420","Kennewick-Richland, WA (Metropolitan Statistical Area)",295289
"30300","Lewiston, ID-WA (Metropolitan Statistical Area)",62872
"31020","Longview, WA (Metropolitan Statistical Area)",108752
"34580","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",127835
"36500","Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",286056
"38900","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",2473350
"42660","Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",3935179
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",558827
"47460","Walla Walla, WA (Metropolitan Statistical Area)",60615
"48300","Wenatchee, WA (Metropolitan Statistical Area)",119501
"49420","Yakima, WA (Metropolitan Statistical Area)",250562
"10140","Aberdeen, WA (Micropolitan Statistical Area)",73801
"16500","Centralia, WA (Micropolitan Statistical Area)",79569
"21260","Ellensburg, WA (Micropolitan Statistical Area)",47358
"34180","Moses Lake, WA (Micropolitan Statistical Area)",96672
"36020","Oak Harbor, WA (Micropolitan Statistical Area)",84227
"36830","Othello, WA (Micropolitan Statistical Area)",19736
"38820","Port Angeles, WA (Micropolitan Statistical Area)",76551
"39420","Pullman, WA (Micropolitan Statistical Area)",49683
"43220","Shelton, WA (Micropolitan Statistical Area)",65380
"89313","Kennewick-Richland-Walla Walla, WA (Combined Statistical Area)",355904
"89393","Moses Lake-Othello, WA (Combined Statistical Area)",116408
"89440","Portland-Vancouver-Salem, OR-WA (Combined Statistical Area)",3232399
"89446","Pullman-Moscow, WA-ID (Combined Statistical Area)",89512
"89500","Seattle-Tacoma, WA (Combined Statistical Area)",4847522
"89518","Spokane-Spokane Valley-Coeur d'Alene, WA-ID (Combined Statistical Area)",720036
"42644","Seattle-Bellevue-Kent, WA (Metropolitan Division)",3041423
"45104","Tacoma-Lakewood, WA (Metropolitan Division)",893756
