Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
Cascade Natural Gas Corporation LDC - statewide,2018,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,,,,23973,0,115,23858,0,0,0,0,0,,1,,
Cascade Natural Gas Corporation LDC - statewide,2017,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,,,,26227,0,116,26111,0,0,0,0,0,,2,,
NW Natural LDC - WA - statewide,2017,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,NW Natural,Portland,,,8183,0,10,8173,0,0,0,0,0,Last year reporting.,1,,
Graymont Western US. Inc. - Tacoma,2016,Minerals,Lime Manufacturing,327410,Lime Manufacturing,"Graymont, Inc.",Tacoma,Pierce,Puget Sound Clean Air Agency,42728,0,42658,26,44,0,0,0,0,,2,"(47.271365, -122.397262)",POINT (-122.39726200000001 47.271365)
Cosmo Specialty Fibers Inc - Cosmopolis,2014,Pulp and Paper,Sulfite Mills,322110,Pulp Mills,Gores Group,Cosmopolis,Grays Harbor,Ecology: Industrial Section,1185707,1152820,23988,5650,3248,0,0,0,0,,4,"(46.952907, -123.76211)",POINT (-123.76211 46.952907)
NW Natural LDC - WA - statewide,2014,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,NW Natural,Portland,,,7769,0,9,7760,0,0,0,0,0,,1,,
Cascade Natural Gas Corporation LDC - statewide,2013,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,,,,12940,0,70,12870,0,0,0,0,0,,1,,
Puget Sound Energy LDC - statewide,2012,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Sound Energy,,,,61475,0,76,61400,0,0,0,0,0,,2,,
Puget Sound Energy T&D - statewide,2012,Power Plants,Use of Electrical Equipment,221122,Electric Power Distribution,Puget Sound Energy,Bellevue,,,12271,0,0,0,0,0,0,12271,0,,1,,
CHS Inc.,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,4247,Petroleum and Petroleum Products Merchant Wholesalers,CHS Inc,,,,1228254,0,1228254,,,,,,,,,,
Alcoa Intalco Works - Ferndale,2015,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Ferndale,Whatcom,Ecology: Industrial Section,1195786,0,418042,10480,34,0,767230,0,0,PFC emissions based on old source test information.,4,"(48.8455, -122.7055)",POINT (-122.70549999999999 48.8455)
Easterday Ranches North Feedlot - Eltopia,2014,Food Production,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Eltopia,Franklin,Ecology: Eastern Regional Office,14416,0,867,1035,12513,0,0,0,0,,1,"(46.50919, -118.881203)",POINT (-118.88120300000001 46.50919)
Puget Sound Energy - Goldendale Generating Station - Goldendale,2019,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Goldendale,Klickitat,Ecology: Central Regional Office,729130,0,728390,338,403,0,0,0,0,,3,"(45.8114, -120.833)",POINT (-120.833 45.8114)
HollyFrontier Refining & Marketing LLC,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,HollyFrontier Corporation,,,,0,0,0,,,,,,,Last year reporting.,,,
Northwest Hardwoods Inc. - Longview,2013,Wood Products,Lumber Mills,321113,Sawmills,American Industrial Partners (AIP),Longview,Cowlitz,Southwest Clean Air Agency,14936,9533,5270,21,112,0,0,0,0,,1,"(46.114537, -122.916806)",POINT (-122.91680600000001 46.114537)
Terrace Heights Landfill - Yakima,2014,Waste,Municipal Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Yakima,Yakima,Yakima Regional Clean Air Agency,107008,0,29,106980,0,0,0,0,0,,3,"(46.610031, -120.39408)",POINT (-120.39407999999999 46.610031000000006)
United Parcel Service Co,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,481112,Scheduled Freight Air Transportation,UPS Inc.,,,,50052,0,50052,,,,,,,,,,
HollyFrontier Refining & Marketing LLC,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,HollyFrontier Corporation,,,,10747,742,10005,,,,,,,First year reporting.,,,
WestRock LLC - Longview,2015,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Kapstone Paper & Packaging Corp,Longview,Cowlitz,Ecology: Industrial Section,1708673,1565833,135500,1387,5954,0,0,0,0,,4,"(46.10361, -122.92167)",POINT (-122.92167 46.10361)
Green Plains Trade Group LLC,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,425120,Wholesale Trade Agents and Brokers,Green Plains Inc,,,,244808,244808,0,,,,,,,,,,
Northwest Hardwoods Inc. - Centralia,2013,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,12987,6470,6424,16,77,0,0,0,0,,1,"(46.734454, -122.991963)",POINT (-122.99196300000001 46.734454)
Nippon Dynawave - Longview,2017,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Weyerhaeuser Co.,Longview,Cowlitz,Ecology: Industrial Section,1532377,1218093,306857,1614,5814,0,0,0,0,Emissions no longer include units that split to become North Pacific Paper Company in 2016.,4,"(46.130495, -122.983637)",POINT (-122.98363700000002 46.130495)
ExxonMobil Oil Corporation,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),ExxonMobil Oil Corporation,,,,859726,54950,804776,,,,,,,,,,
Central Washington University - Ellensburg,2019,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Ellensburg,Kittitas,Ecology: Central Regional Office,14884,0,14869,7,8,0,0,0,0,,1,"(47.003202, -120.544513)",POINT (-120.544513 47.003202)
H.W. Hill Landfill Gas Power Plant - Roosevelt,2012,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Public Utility District No. 1 of Klickitat County,Roosevelt,Klickitat,Ecology: Central Regional Office,84423,83991,0,129,303,0,0,0,0,,2,"(45.807765, -120.166354)",POINT (-120.16635399999998 45.807765)
Boulder Park Generating Station - Spokane Valley,2012,Power Plants,"Other Power, Heating, or Cooling Plants",221112,Fossil Fuel Electric Power Generation,Avista Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,2700,0,2697,1,1,0,0,0,0,,1,"(47.696999, -117.147223)",POINT (-117.147223 47.696999)
River Road Generating Plant - Vancouver,2014,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Clark Public Utilities,Vancouver,Clark,Southwest Clean Air Agency,553919,0,553357,257,306,0,0,0,0,,3,"(45.64958, -122.724806)",POINT (-122.724806 45.64958)
The Boeing Company - Renton,2019,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Renton,King,Puget Sound Clean Air Agency,20506,0,20484,10,12,0,0,0,0,,1,"(47.498257, -122.211346)",POINT (-122.211346 47.498257)
Phillips 66 Ferndale Refinery - Ferndale,2016,Refineries,Petroleum Refineries,324110,Petroleum Refineries,Phillips 66 Company,Ferndale,Whatcom,Northwest Clean Air Agency,767043,0,763737,1418,1888,0,0,0,0,,3,"(48.830142, -122.692114)",POINT (-122.69211400000002 48.830142)
Cathcart Landfill - Snohomish,2012,Waste,Municipal Landfills,562111,Solid Waste Collection,Snohomish County,Snohomish,Snohomish,Puget Sound Clean Air Agency,27653,0,288,27365,0,0,0,0,0,,2,"(47.870014, -122.118284)",POINT (-122.11828399999999 47.870014)
Cardinal FG Company - Winlock,2017,Minerals,Glass Production,327211,Flat Glass Manufacturing,Cardinal Glass Industries Inc.,Winlock,Lewis,Southwest Clean Air Agency,107590,0,107513,35,42,0,0,0,0,,3,"(46.544937, -122.926313)",POINT (-122.926313 46.544937)
"UPS Fuel Services, Inc.",2018,Transportation Fuel Supplier,Transportation Fuel Supplier,492110,Couriers and Express Delivery Services,"UPS, Inc.",,,,35464,0,35464,,,,,,,,,,
River Road Generating Plant - Vancouver,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Clark Public Utilities,Vancouver,Clark,Southwest Clean Air Agency,668345,0,667667,310,369,0,0,0,0,,3,"(45.64958, -122.724806)",POINT (-122.724806 45.64958)
University of Washington Seattle Campus - Seattle,2017,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Seattle,King,Puget Sound Clean Air Agency,94113,0,94016,44,53,0,0,0,0,,2,"(47.653614, -122.303608)",POINT (-122.303608 47.653614)
U.S. Oil & Refining Co. - Tacoma,2015,Refineries,Petroleum Refineries,324110,Petroleum Refineries,Par Pacific Holdings Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,128434,0,127452,952,30,0,0,0,0,,3,"(47.256813, -122.394952)",POINT (-122.394952 47.256813)
"SEH America, Inc - Vancouver",2013,Manufacturing,Electronics Manufacturing,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,13852,0,13838,7,8,0,0,0,0,,1,"(45.649912, -122.553612)",POINT (-122.55361199999999 45.649912)
Fairchild AFB - Spokane Co.,2018,Government,National Security,928110,National Security,US Government,Fairchild AFB,Spokane,Spokane Regional Clean Air Agency,11933,0,11921,6,7,0,0,0,0,,1,"(47.641332, -117.644832)",POINT (-117.64483200000001 47.641332)
Easterday Ranches South Feedlot - Kennewick,2014,Food Production,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Kennewick,Benton,Benton Clean Air Agency,20360,0,1812,1417,17131,0,0,0,0,,1,"(45.991872, -119.136497)",POINT (-119.136497 45.991872)
PetroCard Inc.,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),BBI,,,,191708,7558,184150,,,,,,,,,,
"Solvay Chemicals, Inc. - Longview",2016,Chemicals,Hydrogen Production,325188,All Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,41712,0,41712,0,0,0,0,0,0,,2,"(46.137218, -122.982847)",POINT (-122.98284700000002 46.137218)
Northwest Pipeline C/S - Snohomish,2012,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Snohomish,Snohomish,Puget Sound Clean Air Agency,31457,0,30804,635,18,0,0,0,0,,2,"(47.78825, -122.05859)",POINT (-122.05858999999998 47.78825)
Gas Transmission Northwest Compressor Station 6 - Rosalia,2013,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Rosalia,Whitman,Ecology: Eastern Regional Office,86778,0,80719,6014,45,0,0,0,0,,2,"(47.277256, -117.406737)",POINT (-117.40673699999999 47.277256)
"WestRock CP, LLC - Tacoma",2016,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Tacoma,Pierce,Ecology: Industrial Section,1134873,1011165,117370,1133,5205,0,0,0,0,,4,"(47.260953, -122.421765)",POINT (-122.421765 47.260953)
Northwest Pipeline C/S - Chehalis,2018,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Chehalis,Lewis,Southwest Clean Air Agency,22586,0,18599,3977,10,0,0,0,0,,1,"(46.533325, -122.87373)",POINT (-122.87373000000001 46.533325)
J.R. Simplot Company - Moses Lake,2013,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Moses Lake,Grant,Ecology: Eastern Regional Office,36308,2684,27992,5607,25,0,0,0,0,,2,"(47.131732, -119.18926)",POINT (-119.18926000000002 47.131732)
"Horse Heaven Cattle Feeders, Inc. - Sunnyside",2019,Food Production,Cattle Feedlots,112112,Cattle Feedlots,"Horse Heaven Cattle Feeders, Inc.",Sunnyside,Yakima,Yakima Regional Clean Air Agency,11327,0,0,874,10453,0,0,0,0,,1,"(46.284622, -120.019668)",POINT (-120.019668 46.284622000000006)
Darigold - Chehalis,2012,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Chehalis,Lewis,Southwest Clean Air Agency,13954,0,13940,7,8,0,0,0,0,,1,"(46.659952, -122.970162)",POINT (-122.97016200000002 46.659952)
U.S. Oil & Refining Co. - Tacoma,2014,Refineries,Petroleum Refineries,324110,Petroleum Refineries,Par Pacific Holdings Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,171612,0,169177,1878,557,0,0,0,0,,3,"(47.256813, -122.394952)",POINT (-122.394952 47.256813)
Simplot Feeders LTD. - Burbank,2016,Food Production,Cattle Feedlots,112112,Cattle Feedlots,J.R. Simplot Company,Burbank,Walla Walla,Ecology: Eastern Regional Office,23348,0,0,1630,21717,0,0,0,0,,1,"(46.133131, -118.90629)",POINT (-118.90629 46.133131)
Washington State University - Pullman,2015,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Pullman,Whitman,Ecology: Eastern Regional Office,57309,0,57248,27,34,0,0,0,0,,2,"(46.728702, -117.151481)",POINT (-117.15148099999999 46.728702)
Elbow River Marketing Canada Ltd.,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,412110,Petroleum and petroleum products merchant wholesalers,Parkland Fuel Corporation,,,,12653,0,12653,,,,,,,First year reporting.,,,
WaferTech LLC - Camas,2019,Manufacturing,Electronics Manufacturing,334413,Semiconductor and Related Device Manufacturing,WaferTech LLC,Camas,Clark,Southwest Clean Air Agency,92891,0,14214,7,6428,9004,26094,11965,25179,,2,"(45.619569, -122.454955)",POINT (-122.454955 45.619569)
Georgia-Pacific Gypsum LLC - Tacoma,2012,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Koch Industries Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,42750,0,42706,20,24,0,0,0,0,,2,"(47.269558, -122.394869)",POINT (-122.39486900000001 47.269558)
Northwest Pipeline C/S - Sumas,2016,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumas,Whatcom,Northwest Clean Air Agency,109639,0,105182,4398,59,0,0,0,0,,3,"(49.001, -122.2214)",POINT (-122.22139999999999 49.001)
Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,2017,Chemicals,Nitric Acid Production,325311,Nitrogenous Fertilizer Manufacturing,Agrium US Inc.,Kennewick,Benton,Benton Clean Air Agency,144290,0,10992,1,133297,0,0,0,0,,3,"(46.165957, -119.017218)",POINT (-119.017218 46.165957000000006)
Owens-Brockway Glass Container Inc Plant #2 - Kalama,2012,Minerals,Glass Production,327213,Glass Container Manufacturing,Owens-Illinois Inc.,Kalama,Cowlitz,Southwest Clean Air Agency,10090,0,10084,3,3,0,0,0,0,Unsigned submission.,1,"(46.031656, -122.866241)",POINT (-122.86624100000002 46.031656)
Michelsen Packaging - Yakima,2017,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Michelson Packaging Co.,Yakima,Yakima,Yakima Regional Clean Air Agency,9847,0,9836,5,6,0,0,0,0,,1,"(46.604058, -120.513015)",POINT (-120.513015 46.604058)
Grays Harbor Energy Center - Elma,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Stark Power Generation I Holdings LLC,Elma,Grays Harbor,EFSEC,579561,0,578972,269,320,0,0,0,0,,3,"(46.9688, -123.48)",POINT (-123.48 46.9688)
"Nucor Steel Seattle, Inc, - Seattle",2018,Metals,Iron and Steel Production,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Nucor Corporation,Seattle,King,Puget Sound Clean Air Agency,146394,0,146344,23,27,0,0,0,0,,3,"(47.569331, -122.367332)",POINT (-122.367332 47.569331)
Southern Counties Oil Co Ltd,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Southern Counties Oil Co., A California LP",,,,54569,1214,53355,,,,,,,,,,
Cascade Natural Gas Corporation LDC - statewide,2016,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,,,,23616,0,171,23445,0,0,0,0,0,,1,,
The Boeing Company - Renton,2012,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Renton,King,Puget Sound Clean Air Agency,17868,0,17849,9,10,0,0,0,0,,1,"(47.498257, -122.211346)",POINT (-122.211346 47.498257)
Hampton Lumber Mills Washington Inc. - Randle,2016,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,63442,62606,0,120,716,0,0,0,0,,2,"(46.533743, -121.917906)",POINT (-121.91790600000002 46.533743)
Frederickson Power LP - Tacoma,2014,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Atlantic Power,Tacoma,Pierce,Puget Sound Clean Air Agency,271639,0,271363,126,150,0,0,0,0,,3,"(47.086342, -122.365686)",POINT (-122.36568599999998 47.086342)
"SEI Fuel Services, Inc.",2015,Transportation Fuel Supplier,Transportation Fuel Supplier,447110,Gasoline Stations with Convenience Stores,"7-Eleven, Inc.",,,,312704,20572,292132,,,,,,,,,,
Simplot Feeders LTD. - Burbank,2013,Food Production,Cattle Feedlots,112112,Cattle Feedlots,J.R. Simplot Company,Burbank,Walla Walla,Ecology: Eastern Regional Office,26027,0,0,1874,24153,0,0,0,0,,2,"(46.133131, -118.90629)",POINT (-118.90629 46.133131)
"SEI Fuel Services, Inc.",2013,Transportation Fuel Supplier,Transportation Fuel Supplier,447110,Gasoline Stations with Convenience Stores,"7-Eleven, Inc.",,,,358202,23907,334295,,,,,,,,,,
Northwest Hardwoods Inc. - Centralia,2019,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,9349,6127,3137,13,72,0,0,0,0,,1,"(46.734454, -122.991963)",POINT (-122.99196300000001 46.734454)
SDS Lumber Company - Bingen,2015,Wood Products,Lumber Mills,321113,Sawmills,SDS Lumber Company,Bingen,Klickitat,Ecology: Central Regional Office,111216,109648,104,211,1254,0,0,0,0,,3,"(45.713913, -121.468688)",POINT (-121.468688 45.713913000000005)
"SEH America, Inc - Vancouver",2015,Manufacturing,Electronics Manufacturing,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,9615,0,9605,5,5,0,0,0,0,,1,"(45.649912, -122.553612)",POINT (-122.55361199999999 45.649912)
Green Plains Trade Group LLC,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,425120,Wholesale Trade Agents and Brokers,Green Plains Inc,,,,28272,28272,0,,,,,,,,,,
"Emerald Kalama Chemical, LLC - Kalama",2018,Chemicals,Other Chemicals,325199,All Other Basic Organic Chemical Manufacturing,Emerald Performance Materials LLC,Kalama,Cowlitz,Southwest Clean Air Agency,82474,0,82394,34,46,0,0,0,0,,2,"(46.02191, -122.85698)",POINT (-122.85697999999998 46.02191)
Hampton Lumber Mills Washington Inc. - Randle,2018,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,61571,60760,0,117,695,0,0,0,0,,2,"(46.533743, -121.917906)",POINT (-121.91790600000002 46.533743)
The Boeing Company - Auburn Site - Auburn,2012,Manufacturing,Transportation,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,The Boeing Company,Auburn,King,Puget Sound Clean Air Agency,38932,0,38892,18,22,0,0,0,0,,2,"(47.285551, -122.242298)",POINT (-122.242298 47.285551)
Seaport Sound Terminal LLC,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,493190,Bulk petroleum storage,"ArcLight Energy Partners Fund VI, L.P.",,,,81445,27441,54004,,,,,,,,,,
WaferTech LLC - Camas,2013,Manufacturing,Electronics Manufacturing,334413,Semiconductor and Related Device Manufacturing,WaferTech LLC,Camas,Clark,Southwest Clean Air Agency,140759,115,14151,7,7332,5124,79164,17663,17204,,3,"(45.619569, -122.454955)",POINT (-122.454955 45.619569)
Albina Fuel Co,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Albina Fuel Co,,,,38462,0,38462,,,,,,,,,,
Avfuel Corporation,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,424700,Petroleum and Petroleum Products Merchant Wholesalers,CRS Acquisition,,,,41989,0,41989,,,,,,,,,,
PacifiCorp Energy - Chehalis Generation Facility - Chehalis,2017,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Berkshire Hathaway,Chehalis,Lewis,EFSEC,727165,0,726426,337,401,0,0,0,0,,3,"(46.6226, -122.9145)",POINT (-122.91449999999999 46.6226)
Easterday Ranches North Feedlot - Eltopia,2015,Food Production,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Eltopia,Franklin,Ecology: Eastern Regional Office,15048,0,922,1094,13032,0,0,0,0,,1,"(46.50919, -118.881203)",POINT (-118.88120300000001 46.50919)
"Tyson Fresh Meats, Inc. - Wallula",2012,Food Production,Meat Products,311611,Animal (except Poultry) Slaughtering,"Tyson Foods, Inc",Wallula,Walla Walla,Ecology: Eastern Regional Office,52155,0,21679,30464,12,0,0,0,0,,2,"(46.137521, -118.913051)",POINT (-118.91305099999998 46.137521)
Frederickson Power LP - Tacoma,2019,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Atlantic Power,Tacoma,Pierce,Puget Sound Clean Air Agency,514505,0,513983,238,284,0,0,0,0,,3,"(47.086342, -122.365686)",POINT (-122.36568599999998 47.086342)
"Interfor US, Inc. - Tacoma",2014,Wood Products,Lumber Mills,321113,Sawmills,Simpson Lumber Company LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,16287,0,16270,8,9,0,0,0,0,Last year reporting.  Facility shut down.,1,"(47.260211, -122.426476)",POINT (-122.42647600000001 47.260211)
The Boeing Company,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,336411,Aircraft Manufacturing,The Boeing Company,,,,89559,0,89559,,,,,,,,,,
Owens-Brockway Glass Container Inc Plant #2 - Kalama,2017,Minerals,Glass Production,327213,Glass Container Manufacturing,Owens-Illinois Inc.,Kalama,Cowlitz,Southwest Clean Air Agency,23955,0,23938,8,9,0,0,0,0,,1,"(46.031656, -122.866241)",POINT (-122.86624100000002 46.031656)
Alon Asphalt Company - Seattle,2019,Petroleum and Natural Gas Systems,Other Petroleum and Natural Gas Systems,324121,Asphalt Paving Mixture and Block Manufacturing,Alon USA LP,Seattle,King,Puget Sound Clean Air Agency,13673,0,13645,21,7,0,0,0,0,,1,"(47.781642, -122.395299)",POINT (-122.39529900000001 47.781642)
McKinley Paper Co. - Washington Mill - Port Angeles,2018,Pulp and Paper,TMP Mills,322121,Paper (except Newsprint) Mills,Nippon Paper Industries Co Ltd,Port Angeles,Clallam,Olympic Region Clean Air Agency,4189,0,0,4189,0,0,0,0,0,,1,"(48.134623, -123.467524)",POINT (-123.46752400000001 48.134623)
Northwest Pipeline C/S - Goldendale,2012,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Goldendale,Klickitat,Ecology: Central Regional Office,27670,0,21905,5754,12,0,0,0,0,,2,"(45.771216, -120.799267)",POINT (-120.799267 45.771216)
SDS Lumber Company - Bingen,2017,Wood Products,Lumber Mills,321113,Sawmills,SDS Lumber Company,Bingen,Klickitat,Ecology: Central Regional Office,57787,56682,348,109,648,0,0,0,0,,2,"(45.713913, -121.468688)",POINT (-121.468688 45.713913000000005)
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",2014,Wood Products,Engineered Wood,321212,Softwood Veneer and Plywood Manufacturing,Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,71069,68040,2118,132,779,0,0,0,0,,2,"(48.613175, -118.116106)",POINT (-118.116106 48.613175)
Ascensus Specialties LLC - Elma,2017,Chemicals,Other Chemicals,325188,All Other Basic Inorganic Chemical Manufacturing,Ascensus Specialties LLC,Elma,Grays Harbor,Olympic Region Clean Air Agency,21310,0,21288,10,12,0,0,0,0,,1,"(46.995459, -123.382316)",POINT (-123.382316 46.995459)
Puget Sound Energy - Whitehorn Generating Station - Blaine,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Blaine,Whatcom,Northwest Clean Air Agency,37884,0,37844,18,22,0,0,0,0,,2,"(48.885475, -122.724299)",POINT (-122.724299 48.885475)
BP Cherry Point Refinery - Blaine,2016,Refineries,Petroleum Refineries,324110,Petroleum Refineries,BP America Inc.,Blaine,Whatcom,Northwest Clean Air Agency,2418086,0,2403524,9285,5278,0,0,0,0,,5,"(48.8864, -122.7353)",POINT (-122.7353 48.8864)
Puget Sound Energy - Ferndale Generating Station - Ferndale,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Ferndale,Whatcom,Northwest Clean Air Agency,405726,0,405316,187,223,0,0,0,0,,3,"(48.828707, -122.685533)",POINT (-122.68553299999999 48.82870700000001)
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",2018,Wood Products,Lumber Mills,321912,"Cut Stock, Resawing Lumber, and Planing",Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,57150,56397,0,108,645,0,0,0,0,,2,"(48.609799, -118.067441)",POINT (-118.06744099999999 48.609799)
Puget Sound Energy - Goldendale Generating Station - Goldendale,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Goldendale,Klickitat,Ecology: Central Regional Office,551705,0,551145,256,305,0,0,0,0,,3,"(45.8114, -120.833)",POINT (-120.833 45.8114)
The Boeing Company,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,336411,Aircraft Manufacturing,The Boeing Company,,,,120830,0,120830,,,,,,,,,,
Cathcart Landfill - Snohomish,2018,Waste,Municipal Landfills,562111,Solid Waste Collection,Snohomish County,Snohomish,Snohomish,Puget Sound Clean Air Agency,22798,0,204,22594,0,0,0,0,0,,1,"(47.870014, -122.118284)",POINT (-122.11828399999999 47.870014)
Great Western Malt - Vancouver,2016,Food Production,Other Food Products,311213,Malt Manufacturing,Great Western Malt,Vancouver,Clark,Southwest Clean Air Agency,17085,0,17067,8,10,0,0,0,0,,1,"(45.631069, -122.690043)",POINT (-122.69004299999999 45.631069)
"SEI Fuel Services, Inc.",2012,Transportation Fuel Supplier,Transportation Fuel Supplier,447110,Gasoline Stations with Convenience Stores,"7-Eleven, Inc.",,,,381994,25484,356510,,,,,,,,,,
