Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
Fairchild AFB - Spokane Co.,2012,Government,National Security,928110,National Security,US Government,Fairchild AFB,Spokane,Spokane Regional Clean Air Agency,13693,0,13679,7,8,0,0,0,0,,1,"(47.641332, -117.644832)",POINT (-117.64483200000001 47.641332)
"Solvay Chemicals, Inc. - Longview",2014,Chemicals,Hydrogen Production,325188,All Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,46953,0,46953,0,0,0,0,0,0,,2,"(46.137218, -122.982847)",POINT (-122.98284700000002 46.137218)
Boeing Commercial Airplanes - Fabrication (Frederickson Site) - Puyallup,2016,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Puyallup,Pierce,Puget Sound Clean Air Agency,19831,0,19811,9,11,0,0,0,0,,1,"(47.088831, -122.34862)",POINT (-122.34862000000001 47.088831)
"Bio Energy Washington, LLC - Maple Valley",2014,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Bio Energy Washington,Maple Valley,King,Puget Sound Clean Air Agency,28302,27006,1155,43,100,0,0,0,0,,2,"(47.455871, -122.041817)",POINT (-122.041817 47.455871)
Puget Sound Energy - Goldendale Generating Station - Goldendale,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Goldendale,Klickitat,Ecology: Central Regional Office,544866,0,544312,253,301,0,0,0,0,,3,"(45.8114, -120.833)",POINT (-120.833 45.8114)
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",2018,Metals,Other Metals,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Kaiser Aluminum Fabricated Products LLC,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,130646,0,130512,62,73,0,0,0,0,,3,"(47.687074, -117.212673)",POINT (-117.212673 47.687074)
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",2017,Wood Products,Engineered Wood,321212,Softwood Veneer and Plywood Manufacturing,Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,70889,54924,15216,113,637,0,0,0,0,,2,"(48.613175, -118.116106)",POINT (-118.116106 48.613175)
Spectrum Glass Company - Woodinville,2013,Minerals,Glass Production,327211,Flat Glass Manufacturing,Vanguard Properties Co.,Woodinville,King,Puget Sound Clean Air Agency,12088,0,12077,5,6,0,0,0,0,,1,"(47.777004, -122.148978)",POINT (-122.14897799999999 47.777004)
Northwest Pipeline Roosevelt C/S - Bickleton,2015,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Bickleton,Klickitat,Ecology: Central Regional Office,13756,0,9418,4333,5,0,0,0,0,,1,"(45.849504, -120.08083)",POINT (-120.08083 45.849504)
Inland Empire Paper Company - Spokane,2018,Pulp and Paper,TMP Mills,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,28858,17715,10895,39,209,0,0,0,0,,2,"(47.688295, -117.279323)",POINT (-117.279323 47.688295)
Simplot Feeders LTD. - Burbank,2017,Food Production,Cattle Feedlots,112112,Cattle Feedlots,J.R. Simplot Company,Burbank,Walla Walla,Ecology: Eastern Regional Office,28791,0,0,2077,26714,0,0,0,0,,2,"(46.133131, -118.90629)",POINT (-118.90629 46.133131)
Hampton Lumber Mills Washington Inc. - Morton,2015,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Morton,Lewis,Southwest Clean Air Agency,31789,31370,0,60,359,0,0,0,0,,2,"(46.565997, -122.269573)",POINT (-122.269573 46.565997)
Phillips 66 Ferndale Refinery - Ferndale,2019,Refineries,Petroleum Refineries,324110,Petroleum Refineries,Phillips 66 Company,Ferndale,Whatcom,Northwest Clean Air Agency,834697,0,831058,1540,2098,0,0,0,0,,3,"(48.830142, -122.692114)",POINT (-122.69211400000002 48.830142)
Chevron U.S.A. Inc.,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Chevron U.S.A. Inc.,,,,3154826,193502,2961324,,,,,,,,,,
Puget Sound Energy - Sumas Generating Station - Sumas,2019,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Sumas,Whatcom,Northwest Clean Air Agency,227714,0,227483,106,126,0,0,0,0,,3,"(48.9905, -122.2733)",POINT (-122.27329999999999 48.9905)
Northwest Pipeline Roosevelt C/S - Bickleton,2014,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Bickleton,Klickitat,Ecology: Central Regional Office,10856,0,7973,2879,4,0,0,0,0,,1,"(45.849504, -120.08083)",POINT (-120.08083 45.849504)
Puget Sound Energy - Goldendale Generating Station - Goldendale,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Goldendale,Klickitat,Ecology: Central Regional Office,325690,0,325360,151,180,0,0,0,0,,3,"(45.8114, -120.833)",POINT (-120.833 45.8114)
Boeing Commercial Airplanes - Everett,2014,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Everett,Snohomish,Puget Sound Clean Air Agency,73522,0,73446,35,42,0,0,0,0,,2,"(47.918622, -122.276987)",POINT (-122.27698699999999 47.918622)
Seattle-Tacoma International Airport - Seattle,2018,Government,Other Government,488119,Other Airport Operations,Port of Seattle,Seattle,King,Puget Sound Clean Air Agency,14502,0,14487,7,8,0,0,0,0,,1,"(47.443643, -122.302452)",POINT (-122.302452 47.443643)
"Associated Petroleum Products, Inc.",2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,World Fuel Services Company,,,,1325248,45274,1279974,,,,,,,,,,
Seattle-Tacoma International Airport - Seattle,2015,Government,Other Government,488119,Other Airport Operations,Port of Seattle,Seattle,King,Puget Sound Clean Air Agency,13660,0,13645,7,8,0,0,0,0,,1,"(47.443643, -122.302452)",POINT (-122.302452 47.443643)
Darigold - Lynden,2014,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Lynden,Whatcom,Northwest Clean Air Agency,21683,0,21661,10,12,0,0,0,0,,1,"(48.947567, -122.451915)",POINT (-122.451915 48.947567)
Puget Sound Energy - Goldendale Generating Station - Goldendale,2014,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Goldendale,Klickitat,Ecology: Central Regional Office,387312,0,386918,180,214,0,0,0,0,,3,"(45.8114, -120.833)",POINT (-120.833 45.8114)
Alon Asphalt Company - Seattle,2016,Petroleum and Natural Gas Systems,Other Petroleum and Natural Gas Systems,324121,Asphalt Paving Mixture and Block Manufacturing,Alon USA LP,Seattle,King,Puget Sound Clean Air Agency,14096,0,14069,19,8,0,0,0,0,,1,"(47.781642, -122.395299)",POINT (-122.39529900000001 47.781642)
The Boeing Company: DC/MFC - Tukwila,2015,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Tukwila,King,Puget Sound Clean Air Agency,15614,0,15598,7,9,0,0,0,0,,1,"(47.516246, -122.298613)",POINT (-122.29861300000002 47.516246)
"SEH America, Inc - Vancouver",2016,Manufacturing,Electronics Manufacturing,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,8598,0,8589,4,5,0,0,0,0,,1,"(45.649912, -122.553612)",POINT (-122.55361199999999 45.649912)
Great Western Malt - Vancouver,2018,Food Production,Other Food Products,311213,Malt Manufacturing,Great Western Malt,Vancouver,Clark,Southwest Clean Air Agency,13770,0,13756,7,8,0,0,0,0,,1,"(45.631069, -122.690043)",POINT (-122.69004299999999 45.631069)
Terrace Heights Landfill - Yakima,2013,Waste,Municipal Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Yakima,Yakima,Yakima Regional Clean Air Agency,104727,0,32,104695,0,0,0,0,0,,3,"(46.610031, -120.39408)",POINT (-120.39407999999999 46.610031000000006)
Equilon Enterprises LLC dba Shell Oil Products US,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,SOPC HOLDINGS WEST LLC,,,,3566781,0,3566781,,,,,,,,,,
"Analog Devices, Inc. - Camas",2019,Manufacturing,Electronics Manufacturing,334413,Semiconductor and Related Device Manufacturing,Linear Technology Corporation,Camas,Clark,Southwest Clean Air Agency,15708,0,2178,1,1520,2312,5388,4095,215,,1,"(45.598844, -122.45232)",POINT (-122.45232 45.59884400000001)
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",2019,Wood Products,Lumber Mills,321912,"Cut Stock, Resawing Lumber, and Planing",Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,56739,55991,0,108,640,0,0,0,0,,2,"(48.609799, -118.067441)",POINT (-118.06744099999999 48.609799)
Puget Sound Energy - Mint Farm Generating Station - Longview,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Longview,Cowlitz,Southwest Clean Air Agency,433875,0,433435,201,240,0,0,0,0,,3,"(46.140095, -122.985138)",POINT (-122.98513800000002 46.140095)
Sierra Pacific Industries - Centralia,2018,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Centralia,Lewis,Southwest Clean Air Agency,42446,41887,0,81,479,0,0,0,0,,2,"(46.756413, -122.995433)",POINT (-122.99543300000002 46.756413)
Terrace Heights Landfill - Yakima,2018,Waste,Municipal Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Yakima,Yakima,Yakima Regional Clean Air Agency,117391,0,16,117376,0,0,0,0,0,,3,"(46.610031, -120.39408)",POINT (-120.39407999999999 46.610031000000006)
"RPMG, Inc.",2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424700,Petroleum and Petroleum Products Merchant Wholesalers,"Renewable Products Marketing Group, LLC",,,,0,0,0,,,,,,,,,,
Seaport Sound Terminal LLC,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,493190,Bulk petroleum storage,"ArcLight Energy Partners Fund VI, L.P.",,,,18412,860,17552,,,,,,,,,,
Cosmo Specialty Fibers Inc - Cosmopolis,2016,Pulp and Paper,Sulfite Mills,322110,Pulp Mills,Gores Group,Cosmopolis,Grays Harbor,Ecology: Industrial Section,989316,963065,18409,5144,2697,0,0,0,0,,3,"(46.952907, -123.76211)",POINT (-123.76211 46.952907)
Frito Lay - Vancouver,2018,Food Production,Other Food Products,311919,Other Snack Food Manufacturing,PepsiCo Inc,Vancouver,Clark,Southwest Clean Air Agency,16728,0,16711,8,9,0,0,0,0,,1,"(45.657037, -122.692)",POINT (-122.692 45.657037)
Northwest Pipeline C/S - Snohomish,2019,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Snohomish,Snohomish,Puget Sound Clean Air Agency,25145,0,24353,779,14,0,0,0,0,,2,"(47.78825, -122.05859)",POINT (-122.05858999999998 47.78825)
Kettle Falls Generating Station - Kettle Falls,2017,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Avista Corp.,Kettle Falls,Stevens,Ecology: Eastern Regional Office,425911,408477,3925,8836,4674,0,0,0,0,,3,"(48.620335, -118.110841)",POINT (-118.110841 48.620335)
Packaging Corporation of America - Wallula,2015,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,855520,717427,126547,8991,2556,0,0,0,0,,3,"(46.10396, -118.9184)",POINT (-118.91840000000002 46.10396000000001)
United Parcel Service Co,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,481112,Scheduled Freight Air Transportation,UPS Inc.,,,,62859,0,62859,,,,,,,,,,
Grays Harbor Energy Center - Elma,2019,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Stark Power Generation I Holdings LLC,Elma,Grays Harbor,EFSEC,1337982,0,1336624,620,738,0,0,0,0,,4,"(46.9688, -123.48)",POINT (-123.48 46.9688)
